iter	Passed	Remaining
0	52	52672
1	53	26611
2	53	17840
3	53	13445
4	54	10814
5	54	9061
6	54	7798
7	55	6862
8	55	6132
9	55	5543
10	56	5066
11	56	4668
12	57	4331
13	57	4040
14	57	3790
15	58	3567
16	58	3373
17	58	3201
18	59	3047
19	59	2908
20	59	2780
21	59	2666
22	60	2562
23	60	2467
24	61	2380
25	61	2304
26	61	2228
27	62	2157
28	62	2091
29	62	2029
30	63	1973
31	63	1920
32	63	1870
33	64	1823
34	64	1779
35	64	1737
36	65	1696
37	65	1658
38	65	1623
39	66	1589
40	66	1557
41	66	1526
42	67	1497
43	67	1470
44	67	1442
45	68	1417
46	68	1392
47	69	1368
48	69	1345
49	69	1324
50	70	1303
51	70	1283
52	70	1264
53	71	1246
54	71	1228
55	71	1209
56	72	1193
57	72	1177
58	72	1160
59	73	1145
60	73	1131
61	73	1116
62	74	1103
63	74	1090
64	74	1077
65	75	1065
66	75	1052
67	75	1040
68	76	1029
69	76	1017
70	76	1006
71	77	996
72	77	986
73	78	976
74	78	966
75	78	956
76	79	947
77	79	938
78	79	929
79	80	920
80	80	912
81	80	904
82	81	895
83	81	888
84	81	880
85	82	872
86	82	865
87	82	858
88	83	851
89	83	844
90	83	838
91	84	831
92	84	825
93	85	819
94	85	813
95	85	807
96	86	800
97	86	794
98	86	789
99	87	783
100	87	778
101	87	772
102	88	767
103	88	762
104	88	757
105	89	752
106	89	747
107	89	742
108	90	737
109	90	733
110	90	728
111	91	723
112	91	719
113	91	714
114	92	710
115	92	706
116	93	701
117	93	697
118	93	693
119	94	689
120	94	685
121	94	681
122	95	678
123	95	674
124	95	670
125	96	666
126	96	663
127	96	659
128	97	656
129	97	653
130	97	649
131	98	646
132	98	643
133	99	639
134	99	636
135	99	633
136	100	630
137	100	627
138	100	624
139	101	621
140	101	618
141	101	615
142	102	612
143	102	609
144	102	606
145	103	603
146	103	601
147	103	598
148	104	595
149	104	593
150	105	590
151	105	588
152	105	585
153	106	582
154	106	580
155	106	577
156	107	575
157	107	572
158	107	570
159	108	567
160	108	565
161	108	562
162	109	560
163	109	558
164	109	556
165	110	553
166	110	551
167	110	549
168	111	546
169	111	544
170	111	542
171	112	539
172	112	537
173	112	535
174	113	533
175	113	531
176	113	529
177	114	527
178	114	524
179	114	522
180	115	520
181	115	518
182	115	516
183	116	514
184	116	512
185	116	510
186	117	508
187	117	506
188	117	504
189	117	502
190	118	500
191	118	499
192	118	497
193	119	495
194	119	493
195	119	492
196	120	490
197	120	488
198	120	486
199	121	485
200	121	483
201	121	481
202	122	479
203	122	478
204	122	476
205	123	474
206	123	473
207	123	471
208	124	469
209	124	468
210	124	466
211	125	465
212	125	463
213	125	462
214	126	460
215	126	458
216	126	457
217	127	455
218	127	454
219	127	452
220	128	451
221	128	449
222	128	448
223	128	446
224	129	445
225	129	443
226	129	442
227	130	440
228	130	439
229	130	438
230	131	436
231	131	435
232	131	433
233	132	432
234	132	431
235	132	429
236	133	428
237	133	427
238	133	425
239	134	424
240	134	423
241	134	421
242	134	420
243	135	419
244	135	417
245	135	416
246	136	415
247	136	414
248	136	412
249	137	411
250	137	410
251	137	409
252	138	408
253	138	406
254	138	405
255	139	404
256	139	403
257	139	402
258	140	401
259	140	399
260	140	398
261	141	397
262	141	396
263	141	395
264	142	394
265	142	393
266	142	392
267	143	390
268	143	389
269	143	388
270	144	387
271	144	386
272	144	385
273	145	384
274	145	383
275	145	382
276	145	380
277	146	379
278	146	378
279	146	377
280	147	376
281	147	375
282	147	374
283	148	373
284	148	372
285	148	371
286	149	370
287	149	369
288	149	368
289	150	367
290	150	366
291	150	365
292	150	364
293	151	363
294	151	362
295	151	361
296	152	360
297	152	359
298	152	358
299	153	357
300	153	356
301	153	355
302	154	354
303	154	353
304	154	352
305	155	351
306	155	351
307	155	350
308	156	349
309	156	348
310	156	347
311	157	346
312	157	345
313	157	344
314	158	343
315	158	342
316	158	341
317	159	341
318	159	340
319	159	339
320	160	338
321	160	337
322	160	336
323	160	335
324	161	334
325	161	334
326	161	333
327	162	332
328	162	331
329	163	330
330	163	330
331	163	329
332	164	328
333	164	327
334	164	327
335	165	326
336	165	325
337	165	324
338	166	323
339	166	322
340	166	322
341	166	321
342	167	320
343	167	319
344	167	318
345	168	318
346	168	317
347	168	316
348	169	315
349	169	314
350	169	314
351	170	313
352	170	312
353	170	311
354	171	310
355	171	310
356	171	309
357	172	308
358	172	307
359	172	307
360	173	306
361	173	305
362	173	304
363	174	304
364	174	303
365	174	302
366	174	301
367	175	301
368	175	300
369	175	299
370	176	298
371	176	298
372	176	297
373	177	296
374	177	295
375	177	295
376	178	294
377	178	293
378	178	292
379	179	292
380	179	291
381	179	290
382	180	290
383	180	289
384	180	288
385	180	287
386	181	287
387	181	286
388	181	285
389	182	285
390	182	284
391	182	283
392	183	283
393	183	282
394	183	281
395	184	280
396	184	280
397	184	279
398	185	278
399	185	278
400	185	277
401	186	276
402	186	276
403	186	275
404	187	274
405	187	274
406	187	273
407	188	272
408	188	272
409	188	271
410	189	270
411	189	270
412	189	269
413	189	268
414	190	268
415	190	267
416	190	266
417	191	266
418	191	265
419	191	265
420	192	264
421	192	263
422	192	263
423	193	262
424	193	261
425	193	261
426	194	260
427	194	259
428	194	259
429	195	258
430	195	258
431	195	257
432	196	256
433	196	256
434	196	255
435	197	254
436	197	254
437	197	253
438	198	253
439	198	252
440	198	251
441	199	251
442	199	250
443	199	250
444	200	249
445	200	248
446	200	248
447	200	247
448	201	247
449	201	246
450	201	245
451	202	245
452	202	244
453	202	244
454	203	243
455	203	242
456	203	242
457	204	241
458	204	241
459	204	240
460	205	239
461	205	239
462	205	238
463	206	238
464	206	237
465	206	236
466	207	236
467	207	235
468	207	235
469	208	234
470	208	234
471	208	233
472	209	232
473	209	232
474	209	231
475	210	231
476	210	230
477	210	230
478	211	229
479	211	228
480	211	228
481	211	227
482	212	227
483	212	226
484	212	226
485	213	225
486	213	224
487	213	224
488	214	223
489	214	223
490	214	222
491	215	222
492	215	221
493	215	221
494	216	220
495	216	219
496	216	219
497	217	218
498	217	218
499	217	217
500	217	217
501	218	216
502	218	216
503	218	215
504	219	214
505	219	214
506	219	213
507	220	213
508	220	212
509	220	212
510	221	211
511	221	211
512	221	210
513	222	210
514	222	209
515	222	209
516	223	208
517	223	207
518	223	207
519	224	206
520	224	206
521	224	205
522	225	205
523	225	204
524	225	204
525	225	203
526	226	203
527	226	202
528	226	202
529	227	201
530	227	200
